t,B8,AI4,PI4,B6B9B3,AI3,TI3,B6B9B3_B38,AI3_2,PI3,B31B32,AI2,TI2,B7,A_hinge,T_hinge,B64,B44B48
34.4,0,0.026502771937526,0.107088789884738,0,0.0153651407778115,0.058357720286551,0,0.0511262614971457,0.101447407258268,1,0.35614436969055,0.0652069988690115,0,0.0219174651075681,0.0917952482139419,0,1
34.42,0,0.025773779370732,0.104872168611706,0,0.014942502970673,0.0571751545170891,0,0.0504133096350457,0.100745682674408,1,0.390616316487065,0.0807837479039741,0,0.0213145972572146,0.0898731706067893,0,1
34.44,0,0.0250648386748779,0.102696466464852,0,0.0145314903558191,0.0560134915361031,0,0.0497102998329124,0.100043801527,1,0.423242639730718,0.0973721433722105,0,0.0207283120565063,0.0879873795476633,0,1
34.46,0,0.0243753982976619,0.100561109463689,0,0.0141317831674993,0.0548724761514689,0,0.0490170934494689,0.0993419046405864,1,0.454122153866744,0.114819207409882,0,0.0201581533785009,0.0861373330556914,0,1
34.48,0,0.0237049218579322,0.0984655242446462,0,0.0137430704355278,0.0537518513948827,0,0.0483335537767808,0.0986401289425815,1,0.48334838282782,0.132985443080664,0,0.0196036776426095,0.0843224915115232,0,1
34.5,0,0.0230528877283853,0.0964091384613995,0,0.0133650497433511,0.0526513588126497,0,0.0476595460132953,0.0979386075445749,1,0.511009843287415,0.151743829355286,0,0.0190644534694937,0.0825423179374767,0,1
34.52,0,0.0224187886297422,0.0943913811627175,0,0.0129974269927685,0.0515707387418208,0,0.0469949372372573,0.0972374698221274,1,0.537190312747803,0.170978885065076,0,0.0185400613454543,0.0807962782604875,0,1
34.54,0,0.0218021312360879,0.092411683148747,0,0.0126399161751261,0.0505097305722613,0,0.0463395963804953,0.0965368414930837,1,0.561969083274671,0.190585797324719,0,0.0180300932960517,0.0790838415585923,0,1
34.56,0,0.0212024357910665,0.0904694773066441,0,0.0122922391488027,0.0494680729952177,0,0.0456933942025739,0.0958368446944265,1,0.585421201646808,0.210469610204057,0,0.0175341525687041,0.0774044802916568,0,1
34.58,0,0.0206192357346328,0.0885641989264165,0,0.0119541254228175,0.0484455042389273,0,0.0450562032653056,0.0951375980577,1,0.607617696648219,0.230544469695883,0,0.0170518533240157,0.0757576705170251,0,1
34.6,0,0.0200520773400711,0.0866952859978118,0,0.0116253119463895,0.0474417622917937,0,0.0444278979076188,0.0944392167830239,1,0.628625794191041,0.250732921277247,0,0.0165828203355958,0.0741428920907475,0,1
34.62,0,0.0195005193609982,0.0848621794890543,0,0.0113055429042849,0.0464565851136368,0,0.0438083542207761,0.0937418127117271,1,0.648509120920811,0.270965256596899,0,0.0161266886981344,0.0725596288550169,0,1
34.64,0,0.0189641326880758,0.0830643236082057,0,0.0109945695177945,0.0454897108355015,0,0.0431974500239383,0.0930454943976214,1,0.667327896920726,0.291178906041991,0,0.0156831035435078,0.0710073688124193,0,1
34.66,0,0.0184425000151656,0.0813011660478945,0,0.010692149851185,0.0445408779484965,0,0.0425950648400684,0.0923503671769417,1,0.685139118098557,0.311317874144052,0,0.0152517197646929,0.0694856042875821,0,1
34.68,0,0.017935215514667,0.0795721582141304,0,0.0103980486234744,0.0436098254821153,0,0.042001079872173,0.0916565332369732,1,0.701996728808575,0.331332214978213,0,0.0148322017472759,0.0679938320767829,0,1
34.7,0,0.0174418845217859,0.0778767554398947,0,0.0101120370253841,0.0426962931724745,0,0.0414153779798735,0.0909640916833926,1,0.717951785231334,0.351177544891652,0,0.0144242231083456,0.0665315535860568,0,1
34.72,0,0.0169621232274868,0.0762144171841714,0,0.00983389254132678,0.0418000216208899,0,0.0408378436563053,0.0902731386063413,1,0.733052610006112,0.370814590067827,0,0.0140274664425693,0.0650982749583241,0,1
34.74,0,0.0164955583798916,0.0745846072170579,0,0.00956339877629053,0.0409207524431936,0,0.0402683630053382,0.0895837671452566,1,0.74734493858436,0.390208766593061,0,0.0136416230752532,0.0636935071900352,0,1
34.76,0,0.0160418269938916,0.0729867937915697,0,0.00930034528748427,0.0400582284101834,0,0.0397068237191149,0.0888960675524802,1,0.7608720577474,0.40932979084205,0,0.0132663928221948,0.0623167662378163,0,1
34.78,0,0.0156005760687465,0.0714204498027336,0,0.00904452742061451,0.039212193579577,0,0.0391531150559028,0.0882101272556673,1,0.773674936707906,0.428151318139502,0,0.0129014837561414,0.0609675731155742,0,1
34.8,0,0.0151714623134521,0.069885052934535,0,0.00879574615066527,0.0383823934198334,0,0.0386071278182543,0.0875260309190158,1,0.785792351192226,0.446650607786942,0,0.0125466119796717,0.0596454539825084,0,1
34.82,0,0.0147541518796615,0.0683800857952712,0,0.00855380792705768,0.0375685749261896,0,0.0380687543314721,0.0868438605033377,1,0.79726100087936,0.464808212667286,0,0.0122015014043255,0.058349940222453,0,1
34.84,0,0.0143483201019525,0.0669050360418334,0,0.00831852452306855,0.036770486729246,0,0.0375378884223744,0.086163695324992,1,0.808115620552262,0.482607691755621,0,0.0118658835358079,0.0570805685149627,0,1
34.86,0,0.0139536512452397,0.0654593964934271,0,0.00808971288939092,0.0359878791964227,0,0.0370144253983564,0.0854856121137001,1,0.818389085298117,0.500035343973135,0,0.0115394972651024,0.0558368808985339,0,1
34.88,0,0.0135698382591341,0.0640426652352167,0,0.00786719501172268,0.0352205045265975,0,0.0364982620267437,0.0848096850692627,1,0.828112510076217,0.517079961922894,0,0.0112220886653291,0.0546184248263421,0,1
34.9,0,0.0131965825390598,0.0626543457123615,0,0.00765079777227225,0.0344681168382242,0,0.0359892965144339,0.0841359859171981,1,0.837315343954972,0.533732604141419,0,0.0109134107941913,0.0534247532148576,0,1
34.92,0,0.0128335936939407,0.0612939468148958,0,0.00744035281507389,0.0337304722512163,0,0.0354874284878217,0.0834645839633203,1,0.846025459303498,0.549986384589317,0,0.0106132235018549,0.0522554244856909,0,1
34.94,0,0.0124805893202778,0.0599609829538829,0,0.00723569641500753,0.0330073289628745,0,0.0349925589730041,0.0827955461472769,1,0.85426923620789,0.565836278187874,0,0.0103212932441138,0.0511100026010021,0,1
34.96,0,0.0121372947824408,0.0586549741292609,0,0.0070366693504215,0.0322984473181232,0,0.0345045903762617,0.0821289370950632,1,0.862071642367859,0.581278941286818,0,0.0100373929006932,0.0499880570927969,0,1
34.98,0,0.0118034429990031,0.0573754459897789,0,0.00684311677925889,0.0316035898743107,0,0.0340234264648123,0.0814648191705332,1,0.869456308715718,0.596312546021878,0,0.00976130159855148,0.0488891630864198,0,1
35,0,0.0114787742349533,0.0561219298854067,0,0.00665488811859114,0.03092252146082,0,0.0335489723478325,0.0808032525259224,1,0.876445600986735,0.610936627589444,0,0.0094928045400418,0.0478129013185398,0,1
35.02,0,0.0111630358996232,0.0548939629125888,0,0.00647183692746537,0.0302550092337266,0,0.0330811344577442,0.0801442951514028,1,0.883060687457616,0.625151943529991,0,0.00923169283580076,0.0467588581499156,0,1
35.04,0,0.0108559823501732,0.0536910879526935,0,0.00629382079297398,0.0296008227257298,0,0.0326198205317622,0.0794880029236849,1,0.889321603058283,0.63896034417216,0,0.00897776334223351,0.0457266255732128,0,1
35.06,0,0.0105573747004836,0.0525128537040012,0,0.00612070121945815,0.0289597338915775,0,0.032164939593699,0.0788344296536849,1,0.895247310051114,0.652364653445782,0,0.00873081850346903,0.0447158012161353,0,1
35.08,0,0.0102669806353023,0.0513588147075542,0,0.00595234352075893,0.0283315171491934,0,0.031716401936023,0.0781836271332741,1,0.900855755461422,0.665368559324917,0,0.00849066619766268,0.0437259883401243,0,1
35.1,0,0.00998457422950459,0.0502285313671845,0,0.00578861671543206,0.0277159494167094,0,0.0312741191021674,0.0775356451811252,1,0.906163925433116,0.677976513211375,0,0.00825711958752636,0.042756795834865,0,1
35.12,0,0.00970993577232472,0.0491215699640187,0,0.00562939342484506,0.0271128101455973,0,0.0308380038690857,0.0768905316876729,1,0.911187896674167,0.69019363761543,0,0.00802999697497001,0.0418078382088327,0,1
35.14,0,0.009442851596422,0.0480375026657498,0,0.00547454977407733,0.0265218813500855,0,0.03040797023005,0.0762483326592048,1,0.91594288514769,0.702025641533679,0,0.00780912165974145,0.0408787355761013,0,1
35.16,0,0.00918311391164859,0.0469759075309514,0,0.00532396529554603,0.0259429476330416,0,0.0299839333776897,0.075609092261097,1,0.920443292156113,0.713478742964469,0,0.00759432180195445,0.0399691136396261,0,1
35.18,0,0.00893052064338989,0.0459363685087014,0,0.00517752283528296,0.0253757962084916,0,0.029565809687267,0.0749728528602101,1,0.924702747958002,0.724559598039185,0,0.00738543028839818,0.0390786036712047,0,1
35.2,0,0.00868487527535147,0.0449184754337689,0,0.00503510846178932,0.0248202169209419,0,0.0291535167001843,0.0743396550664615,1,0.92873415304965,0.735275236283076,0,0.00718228460252392,0.0382068424883124,0,1
35.22,0,0.00844598669667039,0.0439218240176099,0,0.0048966113773976,0.0242760022616627,0,0.0287469731077231,0.0737095377735876,1,0.932549717236454,0.745633001552417,0,0.00698472669800807,0.0373534724279986,0,1
35.24,0,0.0082136690532319,0.0429460158354046,0,0.00476192383207153,0.0237429473820853,0,0.028346098735009,0.0730825381991105,1,0.936160996612418,0.755640498225766,0,0.00679260287579286,0.0365181413180223,0,1
35.26,0,0.00798774160307586,0.0419906583093617,0,0.00463094103957713,0.0232208501044601,0,0.0279508145251998,0.072458691923524,1,0.939578928559773,0.765305542256016,0,0.00660576366450925,0.0357005024454012,0,1
35.28,0,0.00776802857578045,0.0410553646885046,0,0.0045035610959595,0.0227095109299156,0,0.0275610425238955,0.0718380329287132,1,0.942813864874728,0.774636116716977,0,0.00642406370418899,0.0349002145225348,0,1
35.3,0,0.00755435903571361,0.0401397540251463,0,0.00437968490026207,0.0222087330440528,0,0.0271767058637639,0.07122059363562,1,0.945875603119665,0.783640331503552,0,0.00624736163317528,0.0341169416510625,0,1
35.32,0,0.00734656674904601,0.0392434511482496,0,0.00425921607742659,0.0217183223202057,0,0.0267977287493822,0.0706064049411695,1,0.948773416296752,0.792326386868139,0,0.00607551997814408,0.0333503532836041,0,1
35.34,0,0.00714449005442195,0.0383660866338614,0,0.00414206090331375,0.0212380873204911,0,0.0264240364422889,0.0699954962544702,1,0.951516080932824,0.80070254049802,0,0.0059084050471506,0.0326001241835275,0,1
35.36,0,0.00694797173718763,0.0375072967728044,0,0.00402812823178635,0.0207678392947671,0,0.0260555552462449,0.0693878955323004,1,0.95411190366061,0.80877707785908,0,0.00574588682561761,0.0318659343828817,0,1
35.38,0,0.00675685890707898,0.0366667235357966,0,0.00391732942379798,0.0203073921776142,0,0.0256922124926994,0.0687836293138948,1,0.956568746376802,0.816558285550474,0,0.00558783887518477,0.0311474691386259,0,1
